Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
World,"688,030,702","+43,276","6,872,447",+122,"660,455,964","+65,139","20,702,291","39,060","88,268",881.7,,,
USA,"106,772,583",,"1,162,474",,"104,735,126",,"874,983","1,136","318,910","3,472","1,178,843,558","3,520,983","334,805,269"
India,"44,974,909",,"531,722",,"44,421,781",,"21,406",N/A,"31,973",378,"927,909,833","659,668","1,406,631,776"
France,"40,029,701","+6,708","166,862",,"39,764,181","+8,150","98,658",869,"610,353","2,544","271,490,188","4,139,547","65,584,518"
Germany,"38,414,388",,"173,544",,"38,213,200","+2,300","27,644",N/A,"457,949","2,069","122,332,384","1,458,359","83,883,596"
Brazil,"37,511,921",,"702,116",,"36,249,161",,"560,644",N/A,"174,188","3,260","63,776,166","296,146","215,353,593"
Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,83,"269,169",595,"100,414,883","799,578","125,584,838"
S. Korea,"31,331,112","+23,521","34,571",+23,"31,032,177","+13,252","264,364",151,"610,387",674,"15,804,065","307,892","51,329,899"
Italy,"25,809,208",,"189,904",,"25,493,751",,"125,553",108,"428,278","3,151","271,773,815","4,509,813","60,262,770"
UK,"24,569,895",,"223,396",,"24,334,777","+2,326","11,722",N/A,"358,696","3,261","522,526,476","7,628,357","68,497,907"
Russia,"22,886,898","+2,405","398,602",+24,"22,301,223","+3,278","187,073",N/A,"156,968","2,734","273,400,000","1,875,095","145,805,947"
Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052","85,561,976"
Spain,"13,845,825",,"120,964",,"13,681,014",,"43,847",231,"296,363","2,589","471,036,328","10,082,298","46,719,142"
Vietnam,"11,582,567","+2,507","43,200",+3,"10,629,335",+657,"910,032",132,"117,051",437,"85,826,548","867,342","98,953,541"
Australia,"11,472,222",,"20,410",,"11,424,238",,"27,574",61,"440,075",783,"81,888,237","3,141,236","26,068,792"
Iran,"7,607,744",,"146,058",,"7,342,490",,"119,196",407,"88,439","1,698","55,353,767","643,478","86,022,837"
Mexico,"7,597,890","+2,027","333,972",+11,"6,844,792","+1,693","419,126",N/A,"57,751","2,538","19,965,535","151,757","131,562,772"
Indonesia,"6,792,173","+1,768","161,526",+25,"6,611,770","+1,292","18,877",N/A,"24,333",579,"114,158,919","408,975","279,134,505"
Poland,"6,515,154",+159,"119,574",+6,"5,335,940",,"1,059,640",648,"172,634","3,168","38,688,070","1,025,127","37,739,785"
Colombia,"6,365,262",,"142,722",,"6,187,494",,"35,046",342,"123,567","2,771","36,951,507","717,327","51,512,762"
Austria,"6,070,587",+611,"22,466",,"6,040,150",+461,"7,971",55,"669,547","2,478","211,273,524","23,302,116","9,066,710"
Greece,"6,018,544",,"36,754",,"5,968,497","+2,658","13,293",115,"583,382","3,563","102,228,365","9,909,078","10,316,637"
Portugal,"5,581,619",,"26,575",,"5,551,250",,"3,794",61,"550,425","2,621","46,082,209","4,544,341","10,140,570"
Ukraine,"5,529,459",,"112,128",,"5,406,486","+16,595","10,845",,"128,020","2,596","32,603,805","754,855","43,192,122"
Chile,"5,285,712",+179,"64,497",,"5,220,667",,548,36,"274,580","3,350","49,494,916","2,571,138","19,250,195"
Malaysia,"5,079,436",,"37,028",,"5,025,566",,"16,842",29,"153,082","1,116","68,347,420","2,059,832","33,181,072"
Israel,"4,823,329",,"12,500",,"4,798,473",,"12,356",21,"517,192","1,340","41,373,364","4,436,346","9,326,000"
Belgium,"4,795,081",,"34,268",,"4,750,284",+563,"10,529",43,"410,950","2,937","37,018,657","3,172,590","11,668,278"
Thailand,"4,734,000",,"33,967",,"4,692,636",,"7,397",N/A,"67,553",485,"17,270,775","246,450","70,078,203"
Czechia,"4,641,063",+164,"42,785",,"4,596,521",+25,"1,757",4,"432,258","3,985","57,191,068","5,326,648","10,736,784"
Peru,"4,503,222",,"220,196",,"4,280,934",+552,"2,092",26,"133,689","6,537","38,548,796","1,144,417","33,684,208"
